tag	co_occur	non_occur	groups_with_tag	non_big_cooccur	groups_without_tag	non_big_no_occur	Chi-Square-P-value	IsBigData	relevance_score
neo4j	44	5371	44	0	197285	191914	0	1	1
stream-processing	48	5367	48	0	197281	191914	0	1	1
open-source-analytics	49	5366	49	0	197280	191914	0	1	1
apache-kafka	51	5364	51	0	197278	191914	0	1	1
graph-theory	52	5363	52	0	197277	191914	0	1	1
big-data-developers	53	5362	53	0	197276	191914	0	1	1
data-integration	55	5360	55	0	197274	191914	0	1	1
pig-and-hadoop	55	5360	55	0	197274	191914	0	1	1
business-intelligence-tools-and-technology	55	5360	55	0	197274	191914	0	1	1
advanced-analytics	56	5359	56	0	197273	191914	0	1	1
artificial-intelligence-programming	60	5355	60	0	197269	191914	0	1	1
apache-hadoop	61	5354	61	0	197268	191914	0	1	1
hadoop-analytics	64	5351	64	0	197265	191914	0	1	1
graph-databases	66	5349	66	0	197263	191914	0	1	1
predictive-modeling	66	5349	66	0	197263	191914	0	1	1
bigdatadevelopers	66	5349	66	0	197263	191914	0	1	1
business-intelligence-data-warehousing	68	5347	68	0	197261	191914	0	1	1
neural-networks	70	5345	70	0	197259	191914	0	1	1
social-media-analytics	79	5336	79	0	197250	191914	0	1	1
data-scientist	83	5332	83	0	197246	191914	0	1	1
machine-intelligence	84	5331	84	0	197245	191914	0	1	1
r-users-group	100	5315	100	0	197229	191914	0	1	1
whats-new-with-big-data	113	5302	113	0	197216	191914	0	1	1
deep-learning	125	5290	125	0	197204	191914	0	1	1
big-data-for-social-media	131	5284	131	0	197198	191914	0	1	1
data-warehouses	160	5255	160	0	197169	191914	0	1	1
data-quality	40	5375	40	0	197289	191914	1.97E-302	1	1
to-promote-r-for-big-data-analytics	39	5376	39	0	197290	191914	9.95E-295	1	1
agile-data-warehousing-and-business-intelligence	39	5376	39	0	197290	191914	9.95E-295	1	1
matlab	39	5376	39	0	197290	191914	9.95E-295	1	1
apache-pig	38	5377	38	0	197291	191914	5.03E-287	1	1
statistical-modeling	37	5378	37	0	197292	191914	2.54E-279	1	1
master-data-management	33	5382	33	0	197296	191914	1.65E-248	1	1
federated-discovery-of-big-data	32	5383	32	0	197297	191914	8.35E-241	1	1
splunk	32	5383	32	0	197297	191914	8.35E-241	1	1
olap	31	5384	31	0	197298	191914	4.22E-233	1	1
database-integration-migrations	30	5385	30	0	197299	191914	2.13E-225	1	1
information-dashboard	30	5385	30	0	197299	191914	2.13E-225	1	1
stream-computing	30	5385	30	0	197299	191914	2.13E-225	1	1
netezza	30	5385	30	0	197299	191914	2.13E-225	1	1
couchbase	30	5385	30	0	197299	191914	2.13E-225	1	1
information-visualization	30	5385	30	0	197299	191914	2.13E-225	1	1
bayesian-statistics	30	5385	30	0	197299	191914	2.13E-225	1	1
qlikview	28	5387	28	0	197301	191914	5.44E-210	1	1
data-modeling	26	5389	26	0	197303	191914	1.39E-194	1	1
using-mongodb-in-the-cloud	25	5390	25	0	197304	191914	7.02E-187	1	1
apache-flink	25	5390	25	0	197304	191914	7.02E-187	1	1
lotico	24	5391	24	0	197305	191914	3.55E-179	1	1
unstructured-data	24	5391	24	0	197305	191914	3.55E-179	1	1
microstrategy	24	5391	24	0	197305	191914	3.55E-179	1	1
microstrategy-mobile-applications	24	5391	24	0	197305	191914	3.55E-179	1	1
tableau-software	24	5391	24	0	197305	191914	3.55E-179	1	1
cognos	24	5391	24	0	197305	191914	3.55E-179	1	1
enterprise-data	23	5392	23	0	197306	191914	1.79E-171	1	1
web-of-data	22	5393	22	0	197307	191914	9.06E-164	1	1
apache-hive	22	5393	22	0	197307	191914	9.06E-164	1	1
operations-research	20	5395	20	0	197309	191914	2.32E-148	1	1
performance-measurement	20	5395	20	0	197309	191914	2.32E-148	1	1
microstrategy-dashboards	20	5395	20	0	197309	191914	2.32E-148	1	1
microstrategy-development	20	5395	20	0	197309	191914	2.32E-148	1	1
columnar-databases	20	5395	20	0	197309	191914	2.32E-148	1	1
game-analytics	20	5395	20	0	197309	191914	2.32E-148	1	1
information-design	20	5395	20	0	197309	191914	2.32E-148	1	1
map-reduce	20	5395	20	0	197309	191914	2.32E-148	1	1
kx	20	5395	20	0	197309	191914	2.32E-148	1	1
a-b-testing	20	5395	20	0	197309	191914	2.32E-148	1	1
excel-powerpivot	20	5395	20	0	197309	191914	2.32E-148	1	1
hdfs	20	5395	20	0	197309	191914	2.32E-148	1	1
cognos-tm1	20	5395	20	0	197309	191914	2.32E-148	1	1
semantic-technologies	20	5395	20	0	197309	191914	2.32E-148	1	1
statistical-programming	20	5395	20	0	197309	191914	2.32E-148	1	1
statistical-consulting	20	5395	20	0	197309	191914	2.32E-148	1	1
data-computing	20	5395	20	0	197309	191914	2.32E-148	1	1
industrial-internet-of-things	18	5397	18	0	197311	191914	5.92E-133	1	1
apache-apex	18	5397	18	0	197311	191914	5.92E-133	1	1
data-vault-database-modeling	17	5398	17	0	197312	191914	2.99E-125	1	1
pentaho	17	5398	17	0	197312	191914	2.99E-125	1	1
apache-hbase	17	5398	17	0	197312	191914	2.99E-125	1	1
hadoop-integration	17	5398	17	0	197312	191914	2.99E-125	1	1
apache-storm	17	5398	17	0	197312	191914	2.99E-125	1	1
algorithms-and-computational-theory	16	5399	16	0	197313	191914	1.51E-117	1	1
bayesian-probability	15	5400	15	0	197314	191914	7.65E-110	1	1
apache-samza	14	5401	14	0	197315	191914	3.86E-102	1	1
data-architecture	14	5401	14	0	197315	191914	3.86E-102	1	1
jaspersoft-jasperserver	13	5402	13	0	197316	191914	1.95E-94	1	1
tibco-spotfire	13	5402	13	0	197316	191914	1.95E-94	1	1
web-ontology-language	12	5403	12	0	197317	191914	9.83E-87	1	1
digital-access	12	5403	12	0	197317	191914	9.83E-87	1	1
linked-data-user-experience	12	5403	12	0	197317	191914	9.83E-87	1	1
mastercoin	12	5403	12	0	197317	191914	9.83E-87	1	1
permacoin	12	5403	12	0	197317	191914	9.83E-87	1	1
semantic-social-networks	12	5403	12	0	197317	191914	9.83E-87	1	1
web-3-0	12	5403	12	0	197317	191914	9.83E-87	1	1
vertica-systems	12	5403	12	0	197317	191914	9.83E-87	1	1
excel-2010	12	5403	12	0	197317	191914	9.83E-87	1	1
logfile-management	12	5403	12	0	197317	191914	9.83E-87	1	1
opencv	12	5403	12	0	197317	191914	9.83E-87	1	1
neo4j-social	12	5403	12	0	197317	191914	9.83E-87	1	1
big-data-ingestion	12	5403	12	0	197317	191914	9.83E-87	1	1
social-crm	11	5404	11	0	197318	191914	4.95E-79	1	1
data-mapping	10	5405	10	0	197319	191914	2.49E-71	1	1
liberty-freedom-transparency-accountability	10	5405	10	0	197319	191914	2.49E-71	1	1
chart-analysis	10	5405	10	0	197319	191914	2.49E-71	1	1
cloud-analytics	10	5405	10	0	197319	191914	2.49E-71	1	1
applied-research	10	5405	10	0	197319	191914	2.49E-71	1	1
program-evaluation	10	5405	10	0	197319	191914	2.49E-71	1	1
content-delivery	10	5405	10	0	197319	191914	2.49E-71	1	1
stanford-artificial-intelligence-course-cs-221	10	5405	10	0	197319	191914	2.49E-71	1	1
the-art-of-business-negotiations	10	5405	10	0	197319	191914	2.49E-71	1	1
microstrategy-best-practices	10	5405	10	0	197319	191914	2.49E-71	1	1
attivio	10	5405	10	0	197319	191914	2.49E-71	1	1
fast-esp	10	5405	10	0	197319	191914	2.49E-71	1	1
massively-parallel-processing-databases	10	5405	10	0	197319	191914	2.49E-71	1	1
interactive-analytics	10	5405	10	0	197319	191914	2.49E-71	1	1
tachyon	10	5405	10	0	197319	191914	2.49E-71	1	1
share-best-practices-in-analytics	10	5405	10	0	197319	191914	2.49E-71	1	1
sport-technology	10	5405	10	0	197319	191914	2.49E-71	1	1
video-performance-analysis	10	5405	10	0	197319	191914	2.49E-71	1	1
health-care-technology	10	5405	10	0	197319	191914	2.49E-71	1	1
data-portability	10	5405	10	0	197319	191914	2.49E-71	1	1
personal-data-locker	10	5405	10	0	197319	191914	2.49E-71	1	1
project-vrm	10	5405	10	0	197319	191914	2.49E-71	1	1
auto-insurance	10	5405	10	0	197319	191914	2.49E-71	1	1
clinical-trial	10	5405	10	0	197319	191914	2.49E-71	1	1
executive-forum	10	5405	10	0	197319	191914	2.49E-71	1	1
digital-libraries	10	5405	10	0	197319	191914	2.49E-71	1	1
r-programming-language	10	5405	10	0	197319	191914	2.49E-71	1	1
cloud-integration	10	5405	10	0	197319	191914	2.49E-71	1	1
new-clinical-technologies	10	5405	10	0	197319	191914	2.49E-71	1	1
business-process-improvement-consultant	10	5405	10	0	197319	191914	2.49E-71	1	1
financial-forecasting	10	5405	10	0	197319	191914	2.49E-71	1	1
single-page-applications	10	5405	10	0	197319	191914	2.49E-71	1	1
typescript	10	5405	10	0	197319	191914	2.49E-71	1	1
capacity-planning	10	5405	10	0	197319	191914	2.49E-71	1	1
performance-engineering	10	5405	10	0	197319	191914	2.49E-71	1	1
operational-intelligence	10	5405	10	0	197319	191914	2.49E-71	1	1
news-analytics	10	5405	10	0	197319	191914	2.49E-71	1	1
distributed-programming	10	5405	10	0	197319	191914	2.49E-71	1	1
distributed-programming-in-java	10	5405	10	0	197319	191914	2.49E-71	1	1
in-memory-database	10	5405	10	0	197319	191914	2.49E-71	1	1
memcached	10	5405	10	0	197319	191914	2.49E-71	1	1
message-broker	10	5405	10	0	197319	191914	2.49E-71	1	1
digital-medicine	10	5405	10	0	197319	191914	2.49E-71	1	1
budgeting-and-planning	10	5405	10	0	197319	191914	2.49E-71	1	1
spss	10	5405	10	0	197319	191914	2.49E-71	1	1
storage-solutions	10	5405	10	0	197319	191914	2.49E-71	1	1
big-data-hadoop	10	5405	10	0	197319	191914	2.49E-71	1	1
low-latency	10	5405	10	0	197319	191914	2.49E-71	1	1
network-design	10	5405	10	0	197319	191914	2.49E-71	1	1
sales-engineering	10	5405	10	0	197319	191914	2.49E-71	1	1
future-life-progression	10	5405	10	0	197319	191914	2.49E-71	1	1
data-collection-and-entry	10	5405	10	0	197319	191914	2.49E-71	1	1
information-data	10	5405	10	0	197319	191914	2.49E-71	1	1
decision-tools-and-processes	10	5405	10	0	197319	191914	2.49E-71	1	1
enterprise-business-architecture	10	5405	10	0	197319	191914	2.49E-71	1	1
corporate-learning	10	5405	10	0	197319	191914	2.49E-71	1	1
information-gathering-web-crawling	10	5405	10	0	197319	191914	2.49E-71	1	1
web-based-r-reporting	10	5405	10	0	197319	191914	2.49E-71	1	1
xboxhack	10	5405	10	0	197319	191914	2.49E-71	1	1
fault-tolerance	10	5405	10	0	197319	191914	2.49E-71	1	1
rabbitmq	10	5405	10	0	197319	191914	2.49E-71	1	1
what-is-sap-hana	10	5405	10	0	197319	191914	2.49E-71	1	1
egovernment	10	5405	10	0	197319	191914	2.49E-71	1	1
newsql	10	5405	10	0	197319	191914	2.49E-71	1	1
real-time-systems	10	5405	10	0	197319	191914	2.49E-71	1	1
ssds	10	5405	10	0	197319	191914	2.49E-71	1	1
using-technology-to-scale-your-business	10	5405	10	0	197319	191914	2.49E-71	1	1
mariadb	10	5405	10	0	197319	191914	2.49E-71	1	1
information-analytics	10	5405	10	0	197319	191914	2.49E-71	1	1
reports-analytics	10	5405	10	0	197319	191914	2.49E-71	1	1
time-series-analysis	10	5405	10	0	197319	191914	2.49E-71	1	1
cloudera	10	5405	10	0	197319	191914	2.49E-71	1	1
impala	10	5405	10	0	197319	191914	2.49E-71	1	1
numerical-analysis	10	5405	10	0	197319	191914	2.49E-71	1	1
information-theory	10	5405	10	0	197319	191914	2.49E-71	1	1
interest-graphs	10	5405	10	0	197319	191914	2.49E-71	1	1
social-network-analysis	10	5405	10	0	197319	191914	2.49E-71	1	1
dns	10	5405	10	0	197319	191914	2.49E-71	1	1
google-analytics-discussion	10	5405	10	0	197319	191914	2.49E-71	1	1
c-level-tech	10	5405	10	0	197319	191914	2.49E-71	1	1
small-medium-business	10	5405	10	0	197319	191914	2.49E-71	1	1
mobile-visual-search	10	5405	10	0	197319	191914	2.49E-71	1	1
visual-search	10	5405	10	0	197319	191914	2.49E-71	1	1
statistical-education	10	5405	10	0	197319	191914	2.49E-71	1	1
gemfire	10	5405	10	0	197319	191914	2.49E-71	1	1
greenplum	10	5405	10	0	197319	191914	2.49E-71	1	1
hawq	10	5405	10	0	197319	191914	2.49E-71	1	1
pl-python	10	5405	10	0	197319	191914	2.49E-71	1	1
spring-xd	10	5405	10	0	197319	191914	2.49E-71	1	1
sql-on-hadoop	10	5405	10	0	197319	191914	2.49E-71	1	1
data-strategy	9	5406	9	0	197320	191914	1.24E-63	1	1
econometrics	9	5406	9	0	197320	191914	1.24E-63	1	1
sales-trading	9	5406	9	0	197320	191914	1.24E-63	1	1
content-search	9	5406	9	0	197320	191914	1.24E-63	1	1
collective-intelligence	9	5406	9	0	197320	191914	1.24E-63	1	1
3d-visualization	8	5407	8	0	197321	191914	6.19E-56	1	1
northwestern-university-alumni	8	5407	8	0	197321	191914	6.19E-56	1	1
saas-operations-best-practices	8	5407	8	0	197321	191914	6.19E-56	1	1
interview-presentations-that-win-interviews	8	5407	8	0	197321	191914	6.19E-56	1	1
google-tag-manager	8	5407	8	0	197321	191914	6.19E-56	1	1
omniture	8	5407	8	0	197321	191914	6.19E-56	1	1
web-analytics-wednesdays	8	5407	8	0	197321	191914	6.19E-56	1	1
qlik-sense	8	5407	8	0	197321	191914	6.19E-56	1	1
weka	7	5408	7	0	197322	191914	3.05E-48	1	1
amazon-elastic-mapreduce-amazon-emr	7	5408	7	0	197322	191914	3.05E-48	1	1
using-amazon-elastic-mapreduce	7	5408	7	0	197322	191914	3.05E-48	1	1
artificial-general-intelligence	7	5408	7	0	197322	191914	3.05E-48	1	1
database-engineers	7	5408	7	0	197322	191914	3.05E-48	1	1
internet-e-business-startups	7	5408	7	0	197322	191914	3.05E-48	1	1
biostatistics	7	5408	7	0	197322	191914	3.05E-48	1	1
audio-signal-processing	6	5409	6	0	197323	191914	1.49E-40	1	1
digital-intelligence	6	5409	6	0	197323	191914	1.49E-40	1	1
social-media-data-mining	6	5409	6	0	197323	191914	1.49E-40	1	1
datomic	6	5409	6	0	197323	191914	1.49E-40	1	1
azure-stream-analytics	6	5409	6	0	197323	191914	1.49E-40	1	1
cortana-analytics	6	5409	6	0	197323	191914	1.49E-40	1	1
powerbi	6	5409	6	0	197323	191914	1.49E-40	1	1
eloqua	6	5409	6	0	197323	191914	1.49E-40	1	1
sales-force-automation	6	5409	6	0	197323	191914	1.49E-40	1	1
hortonworks	6	5409	6	0	197323	191914	1.49E-40	1	1
sas-software	5	5410	5	0	197324	191914	7.04E-33	1	1
declarative-programming	5	5410	5	0	197324	191914	7.04E-33	1	1
monte-carlo-simulation	5	5410	5	0	197324	191914	7.04E-33	1	1
probability-theory	5	5410	5	0	197324	191914	7.04E-33	1	1
programming-language-theory	5	5410	5	0	197324	191914	7.04E-33	1	1
probabalistic-graphical-models	5	5410	5	0	197324	191914	7.04E-33	1	1
probabilistic-graphical-models	5	5410	5	0	197324	191914	7.04E-33	1	1
work-travel	4	5411	4	0	197325	191914	3.18E-25	1	1
epistemology	4	5411	4	0	197325	191914	3.18E-25	1	1
theoretical-physics	4	5411	4	0	197325	191914	3.18E-25	1	1
personalisation	4	5411	4	0	197325	191914	3.18E-25	1	1
cloud-architecture	4	5411	4	0	197325	191914	3.18E-25	1	1
hadoop-on-azure	4	5411	4	0	197325	191914	3.18E-25	1	1
asset-performance-management	4	5411	4	0	197325	191914	3.18E-25	1	1
ge-digital	4	5411	4	0	197325	191914	3.18E-25	1	1
predix	4	5411	4	0	197325	191914	3.18E-25	1	1
big-data-security	4	5411	4	0	197325	191914	3.18E-25	1	1
systems-analysis	4	5411	4	0	197325	191914	3.18E-25	1	1
business-objects	4	5411	4	0	197325	191914	3.18E-25	1	1
tensorflow	4	5411	4	0	197325	191914	3.18E-25	1	1
increase-revenue	3	5412	3	0	197326	191914	1.29E-17	1	1
informatica	2	5413	2	0	197327	191914	3.97E-10	1	1
fundraising-professionals	2	5413	2	0	197327	191914	3.97E-10	1	1
prospect-research	2	5413	2	0	197327	191914	3.97E-10	1	1
research-for-fundraising	2	5413	2	0	197327	191914	3.97E-10	1	1
strategic-planning-for-fundraising	2	5413	2	0	197327	191914	3.97E-10	1	1
knime	2	5413	2	0	197327	191914	3.97E-10	1	1
deep-reinforcement-learning	2	5413	2	0	197327	191914	3.97E-10	1	1
machine-data	2	5413	2	0	197327	191914	3.97E-10	1	1
cloud-to-cloud-itegration	2	5413	2	0	197327	191914	3.97E-10	1	1
computers-and-software	2	5413	2	0	197327	191914	3.97E-10	1	1
supervised-learning	2	5413	2	0	197327	191914	3.97E-10	1	1
local-news	1	5414	1	0	197328	191914	0.003820135	1	1
journal-club	1	5414	1	0	197328	191914	0.003820135	1	1
data-art	1	5414	1	0	197328	191914	0.003820135	1	1
statistical-science	1	5414	1	0	197328	191914	0.003820135	1	1
early-stage-investing	1	5414	1	0	197328	191914	0.003820135	1	1
data-mining	1446	3969	1459	13	195870	191901	0	1	0.99
healthcare-big-data	67	5348	68	1	197261	191913	0	1	0.99
business-analytics	579	4836	597	18	196732	191896	0	1	0.97
leveraging-big-data	301	5114	311	10	197018	191904	0	1	0.97
hadoop	1093	4322	1140	47	196189	191867	0	1	0.96
information-science	22	5393	23	1	197306	191913	2.48E-156	1	0.96
vertica	22	5393	23	1	197306	191913	2.48E-156	1	0.96
applied-statistics	252	5163	264	12	197065	191902	0	1	0.95
financial-modeling	20	5395	21	1	197308	191913	5.45E-141	1	0.95
data-profiling	20	5395	21	1	197308	191913	5.45E-141	1	0.95
r-project-for-statistical-computing	199	5216	209	10	197120	191904	0	1	0.95
apache-spark	161	5254	171	10	197158	191904	0	1	0.94
mongodb	191	5224	205	14	197124	191900	0	1	0.93
statistics-and-data-analysis	102	5313	110	8	197219	191906	0	1	0.93
cassandra	102	5313	112	10	197217	191904	0	1	0.91
new-media-and-interactive-design	20	5395	22	2	197307	191912	2.74E-134	1	0.91
learning-organizations	10	5405	11	1	197318	191913	1.22E-64	1	0.91
medical-research	10	5405	11	1	197318	191913	1.22E-64	1	0.91
artificial-intelligence-applications	99	5316	109	10	197220	191904	0	1	0.91
marklogic-server	29	5386	32	3	197297	191911	2.52E-196	1	0.91
business-intelligence-best-practices	166	5249	184	18	197145	191896	0	1	0.9
data-analysis-and-modeling	137	5278	152	15	197177	191899	0	1	0.9
real-time-analytics	88	5327	98	10	197231	191904	0	1	0.9
saas-business-challenges	8	5407	9	1	197320	191913	1.48E-49	1	0.89
software-saas	8	5407	9	1	197320	191913	1.48E-49	1	0.89
etl	142	5273	162	20	197167	191894	0	1	0.88
businessintell	1021	4394	1172	151	196157	191763	0	1	0.87
art-collective	20	5395	23	3	197306	191911	3.60E-128	1	0.87
database-design-development	37	5378	43	6	197286	191908	1.91E-238	1	0.86
litecoin	12	5403	14	2	197315	191912	6.69E-74	1	0.86
infographics	51	5364	61	10	197268	191904	1.72527723527763e-320	1	0.84
personal-privacy-issues	10	5405	12	2	197317	191912	4.61E-59	1	0.83
entrepreneur-futurists	10	5405	12	2	197317	191912	4.61E-59	1	0.83
high-scalability-computing	489	4926	592	103	196737	191811	0	1	0.83
using-hadoop-in-the-cloud	47	5368	57	10	197272	191904	1.06E-290	1	0.82
data-warehousing	144	5271	175	31	197154	191883	0	1	0.82
data-governance	42	5373	52	10	197277	191904	1.09E-253	1	0.81
distributed-computing	36	5379	46	10	197283	191904	1.06E-209	1	0.78
mobile-analytics	49	5366	63	14	197266	191900	5.44E-285	1	0.78
apparel	7	5408	9	2	197320	191912	2.78E-37	1	0.78
linked-data	75	5340	97	22	197232	191892	0	1	0.77
scientific-computing	30	5385	39	9	197290	191905	6.33E-171	1	0.77
it-infrastructure-architecture	20	5395	26	6	197303	191908	1.22E-112	1	0.77
hbase	88	5327	115	27	197214	191887	0	1	0.77
google-analytics	48	5367	63	15	197266	191899	5.02E-273	1	0.76
natural-language-processing	142	5273	188	46	197141	191868	0	1	0.76
databasepro	453	4962	602	149	196727	191765	0	1	0.75
d3-js	60	5355	80	20	197249	191894	0	1	0.75
business-intelligence-in-cloud	27	5388	36	9	197293	191905	2.27E-149	1	0.75
maidsafe	12	5403	16	4	197313	191910	2.83E-64	1	0.75
google-cloud-platform	20	5395	27	7	197302	191907	3.14E-108	1	0.74
